,mzmin,mzmax,mzmed,rtmin,rtmax,rtmed,area,sn,peak_gaussian
0,115.1114,115.1117,115.1115,267.789,287.362,287.362,65714.79855580007,48,gaussian
1,115.1114,115.1117,115.1115,273.195,294.975,287.362,71104.54208225007,17,Not_guassian
2,115.1115,115.1116,115.1115,289.5,300.556,292.787,33561.21598474997,23,Not_guassian
3,115.1115,115.1117,115.1115,289.5,320.721,306.176,100393.14964525004,28,Not_guassian
4,115.1115,115.1116,115.1115,321.857,348.182,335.139,78995.96054614995,16,Not_guassian
5,115.1115,115.1117,115.1115,351.444,373.655,366.375,67254.52290729986,28,gaussian
6,115.1116,115.1117,115.1116,685.027,698.42,690.32,27634.994404349873,47,Not_guassian
7,115.1116,115.1117,115.1116,747.501,768.186,756.879,41392.95557050014,68,gaussian
8,115.1116,115.1124,115.1116,839.672,868.628,849.064,49949.00932050006,47,Not_guassian
9,162.9946,162.9965,162.9949,646.75,683.973,682.892,46888.996917899945,136,gaussian
10,162.9971,162.9977,162.9977,1332.43,1356.49,1351.52,39783.57730449995,55,Not_guassian
11,162.9974,162.9978,162.9977,1357.49,1374.48,1364.47,30763.556846500032,10,Not_guassian
12,162.9964,162.9978,162.9976,1375.52,1393.38,1387.64,41347.83554450036,45,Not_guassian
13,162.997,162.9978,162.9973,1394.33,1416.43,1400.88,56181.514794500385,108,gaussian
14,162.9963,162.9976,162.9974,1432.52,1454.0,1444.29,39713.59075900007,53,gaussian
15,162.9973,162.9977,162.9976,1454.0,1477.67,1460.62,51919.65544700007,71,gaussian
16,162.997,162.998,162.997,1530.3,1547.91,1542.01,35708.4957480002,59,gaussian
17,162.9973,162.9977,162.9974,1551.84,1567.97,1558.52,43171.314130000115,73,Not_guassian
18,162.9973,162.9976,162.9975,1580.36,1593.5,1582.35,29242.436016000036,9,gaussian
19,162.9973,162.9977,162.9975,1580.36,1597.56,1582.35,36681.0265644999,13,Not_guassian
20,162.9973,162.9978,162.9975,1580.36,1602.64,1582.35,48858.71084550035,14,gaussian
21,162.9967,162.9978,162.9975,1594.53,1626.37,1626.37,59874.35597750011,27,Not_guassian
22,162.9967,162.9978,162.9975,1615.02,1638.61,1626.37,45282.64873999997,28,Not_guassian
23,162.9967,162.9978,162.9976,1627.37,1638.61,1628.37,21648.723897000305,11,gaussian
24,162.9968,162.9977,162.9975,1645.83,1668.57,1647.92,44805.35039149999,15,gaussian
25,162.9973,162.9976,162.9976,1669.61,1678.86,1672.69,18859.083727000016,8,Not_guassian
26,162.9973,162.9977,162.9976,1669.61,1680.98,1672.69,23362.85287200023,10,Not_guassian
27,162.9973,162.9977,162.9976,1669.61,1687.1,1672.69,36606.67800999995,16,Not_guassian
28,162.9972,162.9977,162.9975,1688.16,1703.67,1691.24,30663.25851349988,10,gaussian
29,162.9972,162.9978,162.9974,1688.16,1709.98,1706.79,45106.27739349979,14,gaussian
30,162.9974,162.9978,162.9974,1695.32,1714.08,1706.79,38574.06415699988,19,gaussian
31,162.9971,162.9978,162.9974,1696.34,1720.39,1706.79,49998.57522850034,13,Not_guassian
32,162.9971,162.9978,162.9974,1711.03,1733.94,1720.39,47555.91177000027,20,gaussian
33,162.9973,162.9977,162.9975,1735.03,1747.52,1737.11,29456.058147500175,13,gaussian
34,162.9974,162.9977,162.9975,1748.59,1759.08,1753.85,24024.234724000136,14,Not_guassian
35,162.9971,162.9977,162.9973,1748.59,1781.12,1763.25,78343.47831649981,15,gaussian
36,162.9971,162.9977,162.9973,1764.29,1781.12,1781.12,39120.384580999664,19,gaussian
37,162.9974,162.998,162.9976,1782.15,1805.42,1802.23,58287.856853499834,16,gaussian
38,162.9974,162.998,162.9976,1794.88,1805.42,1802.23,28218.43192999995,16,gaussian
39,162.9975,162.9977,162.9977,1806.48,1818.07,1818.07,28185.04210299982,16,gaussian
40,162.9975,162.9979,162.9975,1806.48,1830.81,1822.34,63746.817125499816,18,gaussian
41,162.9974,162.9978,162.9977,1831.88,1850.91,1846.67,52010.89213699994,21,Not_guassian
42,162.9974,162.9978,162.9977,1840.32,1850.91,1846.67,30312.856667500382,16,gaussian
43,162.9973,162.9977,162.9976,1851.98,1863.71,1854.12,34215.17254350005,16,gaussian
44,162.9973,162.9976,162.9975,1864.78,1878.5,1877.43,37689.29499800018,15,gaussian
45,162.9973,162.9978,162.9974,1864.78,1893.2,1889.04,97185.3023235002,18,gaussian
46,162.9973,162.9976,162.9974,1884.86,1893.2,1889.04,35201.18262100043,17,gaussian
47,162.9974,162.9977,162.9976,1894.23,1905.54,1901.44,43221.3713584998,25,gaussian
48,162.9974,162.9977,162.9975,1906.6,1923.21,1922.16,58429.91005350015,46,Not_guassian
49,162.9973,162.9977,162.9976,1924.24,1946.72,1939.55,79901.06569449998,15,gaussian
50,162.9973,162.9977,162.9976,1930.36,1947.82,1939.55,63404.95752400001,7,gaussian
51,162.9974,162.9977,162.9976,1964.2,1974.27,1965.2,33104.86051299982,16,Not_guassian
