,mzmin,mzmax,mzmed,rtmin,rtmax,rtmed,area
0,100.1985,100.2005,100.1985,151.136,170.38,152.074,30920.692988250004
1,100.21,100.2124,100.21,143.738,159.635,143.738,30913.976939749984
2,100.215,100.2188,100.2188,577.112,581.268,581.268,4384.372200000066
3,100.2195,100.2217,100.221,244.184,271.022,244.184,16150.244549949999
4,100.2248,100.2287,100.2254,625.292,650.011,650.011,18191.992474999948
5,100.2329,100.235,100.2329,763.046,769.245,769.245,12381.280987049913
6,100.2362,100.2399,100.2391,577.112,581.268,581.268,5804.239884600088
7,100.2449,100.2455,100.2455,310.594,343.839,343.839,20070.472849800004
8,100.3064,100.3095,100.3084,722.231,748.578,748.578,59866.50398075001
9,100.4013,100.4035,100.4013,850.13,874.725,850.13,29019.29169485003
10,100.4056,100.4111,100.4099,700.405,702.431,702.431,3066.3034903001017
11,100.4137,100.4168,100.4165,822.402,853.251,850.13,50250.24009059989
12,100.4163,100.4206,100.4163,700.405,702.431,700.405,2732.4494855000908
13,100.4369,100.4419,100.4416,1284.73,1301.3,1287.66,58389.86564849959
14,100.439,100.4446,100.4415,747.501,769.245,769.245,32580.34503715006
15,100.4457,100.4522,100.4487,850.13,853.251,853.251,3840.4788320499674
16,100.468,100.4729,100.4729,722.231,748.578,748.578,21940.844340799984
17,100.4718,100.4751,100.4745,722.231,745.365,729.498,18874.14985250001
18,100.4929,100.4975,100.4957,699.411,702.431,700.405,3639.567734700116
19,100.5124,100.5135,100.5125,974.452,994.275,994.275,66367.87542424987
20,100.5704,100.5754,100.574,748.578,769.245,769.245,30251.799828099967
21,100.6018,100.6039,100.6033,722.231,729.498,729.498,9720.277430500071
22,100.6031,100.6068,100.606,568.152,581.268,581.268,28371.754875199913
23,100.6132,100.6174,100.6154,822.402,850.13,850.13,35763.732449599935
24,100.6826,100.6848,100.6826,599.951,614.791,614.791,41104.42782600009
25,100.7764,100.7792,100.779,580.238,599.951,599.951,32807.09000079995
26,100.8112,100.8156,100.8137,599.951,628.499,614.791,39273.73358240001
27,100.8155,100.8196,100.8196,577.112,614.791,614.791,38946.31244155009
28,100.8213,100.8252,100.8248,614.791,617.908,614.791,5978.8191583499265
29,100.8235,100.8282,100.8235,614.791,621.06,614.791,6106.261624749903
30,100.8443,100.8459,100.8458,700.405,722.231,700.405,32417.58467730002
31,100.8603,100.8603,100.8603,1978.31,1990.4,1981.3,36919.36551850041
32,100.9261,100.9268,100.9264,288.433,306.176,288.433,13419.295971699994
33,100.9299,100.9316,100.9316,214.722,232.792,232.792,12833.658849899995
34,100.9491,100.9527,100.9498,763.046,786.926,769.245,36422.55711014998
35,100.9816,100.9837,100.982,2401.21,2413.39,2403.91,19483.365560999962
36,100.9879,100.9882,100.9881,122.872,129.21,124.672,30998.264946750027
37,100.9923,100.9957,100.9935,2077.66,2085.65,2077.66,10314.35969500041
38,101.0413,101.0417,101.0414,131.941,156.796,141.019,84742.94188514998
39,101.065,101.0667,101.0655,227.496,244.184,240.086,18067.448767099988
40,101.0833,101.0849,101.0841,185.391,205.24,194.618,15645.187491150014
41,101.1059,101.1106,101.1059,1858.34,1888.01,1886.97,24738.765801500067
42,101.1107,101.1168,101.1168,1865.82,1874.23,1874.23,7270.63760150007
43,101.1297,101.1301,101.1299,1880.65,1897.35,1894.23,13804.412720999862
44,101.1981,101.1986,101.1986,1892.17,1913.95,1913.95,21090.23106349997
45,101.2186,101.2225,101.2225,534.169,534.169,534.169,0.0
46,101.3005,101.3042,101.3027,748.578,769.245,763.046,48546.24954990002
47,101.3499,101.3508,101.3499,822.402,853.251,850.13,78249.99460474984
48,101.3644,101.3673,101.3644,1969.27,1981.3,1973.29,35549.20914749991
49,101.3898,101.3964,101.3953,599.951,614.791,599.951,22290.016126000046
50,101.4355,101.4362,101.4362,940.473,947.65,945.573,8909.039025150027
51,101.4911,101.4945,101.4929,722.231,722.231,722.231,0.0
52,101.5588,101.5618,101.5588,577.112,599.951,599.951,32382.516165500056
53,101.5618,101.5636,101.5629,599.951,617.908,614.791,25702.40710245001
54,101.5709,101.5735,101.571,577.112,581.268,581.268,22111.921945200334
55,101.592,101.595,101.595,763.046,782.901,782.901,30691.904758599856
56,101.5955,101.5992,101.5981,729.498,748.578,729.498,26270.7024959999
57,101.6004,101.6027,101.6016,548.279,568.152,568.152,37994.085748500096
58,101.605,101.6096,101.6065,613.779,614.791,614.791,1286.5621780000727
59,101.7017,101.7064,101.7025,945.573,972.424,947.65,34924.42365795
60,101.7074,101.7128,101.7074,874.725,886.056,886.056,18440.807643850014
61,101.7123,101.7138,101.7136,748.578,769.245,763.046,25186.027442200022
62,101.7167,101.7214,101.7203,748.578,769.245,763.046,36029.88110110002
63,101.7214,101.723,101.7214,614.791,642.42,614.791,35027.31403149988
64,101.7249,101.7276,101.7249,577.112,581.268,581.268,7899.435750200119
65,101.7295,101.7341,101.7328,722.231,729.498,729.498,6712.979279650048
66,101.7334,101.7371,101.7364,568.152,581.268,568.152,29934.852111599903
67,101.7369,101.7402,101.7388,577.112,581.268,577.112,7538.173164400114
68,101.7424,101.7439,101.7428,504.064,539.205,534.169,34468.80221615004
69,101.7469,101.7534,101.7494,945.573,947.65,945.573,2777.468561549997
70,101.7512,101.7544,101.7516,599.951,614.791,599.951,25122.67476420005
71,101.7563,101.7595,101.7565,722.231,729.498,722.231,7175.858739400052
72,101.7602,101.7658,101.7613,1224.96,1239.17,1224.96,16103.39724000004
73,101.7842,101.7861,101.7842,957.974,974.452,974.452,20393.031913099938
74,101.805,101.8079,101.8078,748.578,769.245,763.046,30140.667914750033
75,101.8128,101.816,101.8145,980.507,1002.03,980.507,40526.95408980005
76,101.8241,101.8261,101.8261,568.152,599.951,568.152,42324.52273564993
77,101.8285,101.8307,101.8303,642.42,650.011,642.42,20114.968460850025
78,101.829,101.8333,101.8308,453.66,453.66,453.66,0.0
79,101.8447,101.8479,101.8479,568.152,568.152,568.152,0.0
80,101.8495,101.8512,101.8511,568.152,581.268,568.152,27667.661939199923
81,101.8519,101.856,101.8531,642.42,650.011,650.011,12009.103951700014
82,101.8705,101.8747,101.8738,642.42,650.011,642.42,10487.040512250012
83,101.9092,101.9152,101.9092,822.402,856.4,822.402,42179.65636909992
84,101.9199,101.9238,101.9238,974.452,980.507,978.488,9698.720782799921
85,101.9287,101.932,101.932,748.578,763.046,748.578,27934.842612600143
86,101.9318,101.935,101.9345,453.66,462.921,453.66,13545.155269799954
87,101.9359,101.9388,101.9388,577.112,581.268,577.112,5161.006205800078
88,101.9411,101.9446,101.9434,568.152,568.152,568.152,0.0
89,101.9467,101.9497,101.9483,568.152,581.268,568.152,32598.774823599902
90,101.9503,101.955,101.9535,577.112,581.268,577.112,4661.30081820007
91,101.9561,101.9606,101.9575,577.112,581.268,581.268,6213.558506200095
92,101.9632,101.9666,101.9637,577.112,594.909,581.268,23045.23177260006
93,101.9879,101.9928,101.9928,748.578,782.901,763.046,35772.27106109999
94,102.0263,102.0266,102.0264,150.202,155.844,154.893,22367.485432749956
95,102.0335,102.0338,102.0335,122.872,128.297,122.872,26913.538971099973
96,102.0683,102.0697,102.0694,700.405,702.431,700.405,2629.7045929500873
97,102.0729,102.0755,102.0755,689.27,702.431,700.405,18072.75521050009
98,102.085,102.0866,102.0866,828.379,853.251,853.251,31564.72129024995
99,102.1019,102.1053,102.1019,700.405,702.431,700.405,3547.8778149001178
100,102.1115,102.1164,102.1127,599.951,614.791,599.951,77372.93075400016
101,102.1151,102.1191,102.1151,581.268,581.268,581.268,0.0
102,102.1856,102.1904,102.1883,642.42,650.011,642.42,8375.632328500009
103,102.2159,102.2201,102.2201,868.628,876.793,876.793,6634.351314149973
104,102.2849,102.292,102.2894,722.231,731.63,722.231,14776.487436749981
105,102.3837,102.3866,102.3857,850.13,853.251,850.13,3897.811750349976
106,102.4629,102.466,102.466,453.66,453.66,453.66,0.0
